Reporting Date,Commodity,Type,Centre,State,Country,Low (Rs/Qtl),High (Rs/Qtl)
19-10-2024,Soyabean,Plant,Baran,Rajasthan,India,4550,4600
19-10-2024,Soyabean,Mandi,Baran,Rajasthan,India,4450,4500
19-10-2024,Soyabean,Plant,Bhawani/Jhalawar,Rajasthan,India,4550,4600
19-10-2024,Soyabean,Mandi,Bhawani/Jhalawar,Rajasthan,India,4500,4550
19-10-2024,Rapeseed/Mustard,Condition,Jaipur,Rajasthan,India,6575,6600
19-10-2024,Rapeseed/Mustard,Condition,Alwar,Rajasthan,India,6150,6200
19-10-2024,Rapeseed/Mustard,Non-Condition,Sri Ganganagar,Rajasthan,India,5485,5850
19-10-2024,Rapeseed/Mustard,Condition,New Delhi,Delhi,India,6350,6400
19-10-2024,Rapeseed/Mustard,Condition,Kota,Rajasthan,India,6450,6500
19-10-2024,Rapeseed/Mustard,Condition,Agra,Uttar Pradesh,India,6905,6952
19-10-2024,Rapeseed/Mustard,Loose,Neewai,Rajasthan,India,6000,6050
19-10-2024,Rapeseed/Mustard,Condition,Hapur ,Uttar Pradesh,India,6300,6350
19-10-2024,Groundnut,Shell,Rajkot,Gujarat,India,5075,6025
19-10-2024,Groundnut,Shell,Bikaner,Rajasthan,India,5500,6500
19-10-2024,Groundnut,Bold,Bikaner,Rajasthan,India,8700,8800
18-10-2024,Soyabean,Plant,Indore,Madhya Pradesh,India,4550,4660
18-10-2024,Soyabean,Mandi,Indore,Madhya Pradesh,India,4350,4500
18-10-2024,Soyabean,Plant,Nagpur,Maharashtra,India,4575,4650
18-10-2024,Soyabean,Mandi,Nagpur,Maharashtra,India,4100,4450
18-10-2024,Soyabean,Mandi,Latur,Maharashtra,India,4350,4500
18-10-2024,Soyabean,Mandi,Akola,Maharashtra,India,3700,4625
18-10-2024,Soyabean,Plant,Kota,Rajasthan,India,4575,4625
18-10-2024,Soyabean,Mandi,Kota,Rajasthan,India,4525,4575
18-10-2024,Soyabean,Plant,Bundi,Rajasthan,India,4600,4650
18-10-2024,Soyabean,Mandi,Bundi,Rajasthan,India,4000,4300
18-10-2024,Soyabean,Plant,Baran,Rajasthan,India,4550,4600
18-10-2024,Soyabean,Mandi,Baran,Rajasthan,India,4450,4500
18-10-2024,Soyabean,Plant,Bhawani/Jhalawar,Rajasthan,India,4550,4600
18-10-2024,Soyabean,Mandi,Bhawani/Jhalawar,Rajasthan,India,4500,4550
18-10-2024,Rapeseed/Mustard,0,Jaipur,Rajasthan,India,6575,6600
18-10-2024,Rapeseed/Mustard,0,Alwar,Rajasthan,India,6150,6200
18-10-2024,Rapeseed/Mustard,0,Sri Ganganagar,Rajasthan,India,5485,5850
18-10-2024,Rapeseed/Mustard,0,New Delhi,Delhi,India,6350,6400
18-10-2024,Rapeseed/Mustard,0,Kota,Rajasthan,India,6450,6500
18-10-2024,Rapeseed/Mustard,0,Agra,Uttar Pradesh,India,6905,6952
18-10-2024,Rapeseed/Mustard,0,Neewai (Loose),Rajasthan,India,6000,6050
18-10-2024,Rapeseed/Mustard,0,Hapur (UP),Uttar Pradesh,India,6300,6350
18-10-2024,Groundnut,Shell,Rajkot,Gujarat,India,5075,6025
18-10-2024,Groundnut ,Shell,Bikaner,Rajasthan,India,5500,6500
18-10-2024,Groundnut,Bold,Bikaner,Rajasthan,India,8700,8800
22-10-2024,Soybean,Plant,Indore,Madhya Pradesh,India,4500,4650
22-10-2024,Soybean,Mandi,Indore,Madhya Pradesh,India,4350,4500
22-10-2024,Soybean,Plant,Nagpur,Maharashtra,India,4500,4600
22-10-2024,Soybean,Mandi,Nagpur,Maharashtra,India,4100,4330
22-10-2024,Soybean,Mandi,Latur,Maharashtra,India,4250,4300
22-10-2024,Soybean,Mandi,Akola,Maharashtra,India,3500,4450
22-10-2024,Soybean,Plant,Kota,Rajasthan,India,4500,4575
22-10-2024,Soybean,Mandi,Kota,Rajasthan,India,4400,4500
22-10-2024,Soybean,Plant,Bundi,Rajasthan,India,4550,4600
22-10-2024,Soybean,Mandi,Bundi,Rajasthan,India,4000,4400
22-10-2024,Soybean,Plant,Baran,Rajasthan,India,4550,4600
22-10-2024,Soybean,Mandi,Baran,Rajasthan,India,4390,4500
22-10-2024,Soybean,Plant,Bhawani/Jhalawar,Rajasthan,India,4450,4500
22-10-2024,Soybean,Mandi,Bhawani/Jhalawar,Rajasthan,India,4300,4400
22-10-2024,Rapeseed/Mustard,Condition,Jaipur,Rajasthan,India,6500,6525
22-10-2024,Rapeseed/Mustard,Condition,Alwar,Rajasthan,India,6100,6200
22-10-2024,Rapeseed/Mustard,Non-Condition,Sri Ganganagar,Rajasthan,India,5300,5800
22-10-2024,Rapeseed/Mustard,Condition,New Delhi,Delhi,India,6350,6400
22-10-2024,Rapeseed/Mustard,Condition,Kota,Rajasthan,India,6500,6550
22-10-2024,Rapeseed/Mustard,Condition,Agra,Uttar Pradesh,India,6905,6952
22-10-2024,Groundnut ,Seed,Rajkot,Gujarat,India,5000,6050
22-10-2024,Groundnut,Seed,Bikaner,Rajasthan,India,5500,6300
22-10-2024,Groundnut ,Bold,Bikaner,Rajasthan,India,8800,9200
23-10-2024,Soybean,Plant,Indore,Madhya Pradesh,India,4550,4650
23-10-2024,Soybean,Mandi,Indore,Madhya Pradesh,India,4500,4550
23-10-2024,Soybean,Plant,Nagpur,Maharashtra,India,4500,4600
23-10-2024,Soybean,Mandi,Nagpur,Maharashtra,India,4100,4270
23-10-2024,Soybean,Mandi,Latur,Maharashtra,India,4280,4450
23-10-2024,Soybean,Mandi,Akola,Maharashtra,India,3600,4455
23-10-2024,Soybean,Plant,Kota,Rajasthan,India,4500,4550
23-10-2024,Soybean,Mandi,Kota,Rajasthan,India,4450,4500
23-10-2024,Soybean,Plant,Bundi,Rajasthan,India,4550,4600
23-10-2024,Soybean,Mandi,Bundi,Rajasthan,India,4200,4400
23-10-2024,Soybean,Plant,Baran,Rajasthan,India,4550,4600
23-10-2024,Soybean,Mandi,Baran,Rajasthan,India,4400,4470
23-10-2024,Soybean,Plant,Bhawani/Jhalawar,Rajasthan,India,4500,4500
23-10-2024,Soybean,Mandi,Bhawani/Jhalawar,Rajasthan,India,4450,4500
23-10-2024,Rapeseed/Mustard,Condition,Jaipur,Rajasthan,India,6550,6575
23-10-2024,Rapeseed/Mustard,Condition,Alwar,Rajasthan,India,6200,6300
23-10-2024,Rapeseed/Mustard,Non-Condition,Sri Ganganagar,Rajasthan,India,5100,6000
23-10-2024,Rapeseed/Mustard,Condition,New Delhi,Delhi,India,6425,6475
23-10-2024,Rapeseed/Mustard,Condition,Kota,Rajasthan,India,6250,6300
23-10-2024,Rapeseed/Mustard,Condition,Agra,Uttar Pradesh,India,6952,7000
23-10-2024,Rapeseed/Mustard,Loose,Neewai,Rajasthan,India,6150,6200
23-10-2024,Rapeseed/Mustard,Condition,Hapur,Uttar Pradesh,India,6250,6300
23-10-2024,Groundnut Seed,Mandi,Rajkot,Gujarat,India,5750,6000
23-10-2024,Groundnut Seed,Mandi,Bikaner,Rajasthan,India,5500,6300
23-10-2024,Groundnut (Bold),Without Shell,Bikaner,Rajasthan,India,8800,9200
24-10-2024,Soybean,Plant,Indore,Madhya Pradesh,India,4600,4700
24-10-2024,Soybean,Mandi,Indore,Madhya Pradesh,India,4550,4600
24-10-2024,Soybean,Plant,Nagpur,Maharashtra,India,4600,4700
24-10-2024,Soybean,Mandi,Nagpur,Maharashtra,India,4100,4440
24-10-2024,Soybean,Mandi,Latur,Maharashtra,India,4300,4495
24-10-2024,Soybean,Mandi,Akola,Maharashtra,India,3600,4495
24-10-2024,Soybean,Plant,Kota,Rajasthan,India,4550,4600
24-10-2024,Soybean,Mandi,Kota,Rajasthan,India,4500,4550
24-10-2024,Soybean,Plant,Bundi,Rajasthan,India,4550,4600
24-10-2024,Soybean,Mandi,Bundi,Rajasthan,India,4200,4400
24-10-2024,Soybean,Plant,Baran,Rajasthan,India,4550,4700
24-10-2024,Soybean,Mandi,Baran,Rajasthan,India,4500,4550
24-10-2024,Soybean,Plant,Bhawani/Jhalawar,Rajasthan,India,4550,4600
24-10-2024,Soybean,Mandi,Bhawani/Jhalawar,Rajasthan,India,4500,4550
24-10-2024,Rapeseed/Mustard,Condition,Jaipur,Rajasthan,India,6675,6700
24-10-2024,Rapeseed/Mustard,Condition,Alwar,Rajasthan,India,6300,6400
24-10-2024,Rapeseed/Mustard,Non-Condition,Sri Ganganagar,Rajasthan,India,5400,5900
24-10-2024,Rapeseed/Mustard,Condition,New Delhi,Delhi,India,6475,6525
24-10-2024,Rapeseed/Mustard,Condition,Kota,Rajasthan,India,6500,6600
24-10-2024,Rapeseed/Mustard,Condition,Agra,Uttar Pradesh,India,7024,7071
24-10-2024,Rapeseed/Mustard,Loose,Neewai,Rajasthan,India,6250,6300
24-10-2024,Rapeseed/Mustard,Condition,Hapur,Uttar Pradesh,India,6325,6350
24-10-2024,Groundnut Seed,Mandi,Rajkot,Gujarat,India,5050,6075
24-10-2024,Groundnut Seed,Mandi,Bikaner,Rajasthan,India,5500,6300
24-10-2024,Groundnut (Bold),Without Shell,Bikaner,Rajasthan,India,8800,9200
